Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2026-03-08 03:08:08,Other,PINK HEAD PADDING MATERIAL MUST BE USED,,,,,,0
2026-03-08 03:20:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,1
2026-03-08 03:21:22,Flag,DOUBLE YELLOW IN TRACK SECTOR 6,,DOUBLE YELLOW,Sector,6.0,,1
2026-03-08 03:21:25,Flag,CLEAR IN TRACK SECTOR 6,,CLEAR,Sector,6.0,,1
2026-03-08 03:21:26,Flag,YELLOW IN TRACK SECTOR 7,,YELLOW,Sector,7.0,,1
2026-03-08 03:21:50,Flag,DOUBLE YELLOW IN TRACK SECTOR 6,,DOUBLE YELLOW,Sector,6.0,,1
2026-03-08 03:21:51,Flag,DOUBLE YELLOW IN TRACK SECTOR 7,,DOUBLE YELLOW,Sector,7.0,,1
2026-03-08 03:21:59,Other,MEDICAL CAR DEPLOYED,,,,,,1
2026-03-08 03:29:59,Flag,YELLOW IN TRACK SECTOR 20,,YELLOW,Sector,20.0,,1
2026-03-08 03:30:00,Other,PIT EXIT CLOSED,,,,,,1
2026-03-08 03:30:15,Flag,DOUBLE YELLOW IN TRACK SECTOR 20,,DOUBLE YELLOW,Sector,20.0,,1
2026-03-08 03:30:25,Flag,CLEAR IN TRACK SECTOR 20,,CLEAR,Sector,20.0,,1
2026-03-08 03:32:26,Flag,CLEAR IN TRACK SECTOR 20,,CLEAR,Sector,20.0,,1
2026-03-08 03:33:13,Other,INCIDENT INVOLVING CAR 27 (HUL) NOTED - STARTING PROCEDURE INFRINGEMENT,,,,,,1
2026-03-08 03:37:53,Flag,CLEAR IN TRACK SECTOR 7,,CLEAR,Sector,7.0,,1
2026-03-08 03:37:54,Flag,CLEAR IN TRACK SECTOR 6,,CLEAR,Sector,6.0,,1
2026-03-08 03:38:40,Other,FIA STEWARDS: INCIDENT INVOLVING CAR 27 (HUL) UNDER INVESTIGATION - STARTING PROCEDURE INFRINGEMENT,,,,,,1
2026-03-08 03:40:23,Flag,DOUBLE YELLOW IN TRACK SECTOR 15,,DOUBLE YELLOW,Sector,15.0,,1
2026-03-08 03:40:40,Flag,CLEAR IN TRACK SECTOR 15,,CLEAR,Sector,15.0,,1
2026-03-08 03:45:10,Other,RISK OF RAIN FOR THE F1 RACE IS 0%,,,,,,1
2026-03-08 03:55:31,Other,FIA STEWARDS: INCIDENT INVOLVING CAR 27 (HUL) NO FURTHER ACTION - STARTING PROCEDURE INFRINGEMENT,,,,,,1
2026-03-08 03:57:02,Other,OVERTAKE DISABLED,,,,,,1
2026-03-08 04:01:21,Other,INCIDENT INVOLVING CAR 43 (COL) NOTED - STARTING PROCEDURE INFRINGEMENT,,,,,,1
2026-03-08 04:03:26,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,1
2026-03-08 04:03:53,Other,FIA STEWARDS: INCIDENT INVOLVING CAR 43 (COL) UNDER INVESTIGATION - STARTING PROCEDURE INFRINGEMENT,,,,,,1
2026-03-08 04:04:46,Other,OVERTAKE ENABLED,,,,,,1
2026-03-08 04:11:11,Other,CAR 10 (GAS) TIME 1:27.040 DELETED - TRACK LIMITS AT TURN 10 LAP 5 15:10:17,,,,,,6
2026-03-08 04:12:27,Other,CAR 5 (BOR) TIME 1:27.463 DELETED - TRACK LIMITS AT TURN 3 LAP 6 15:11:11,,,,,,7
2026-03-08 04:14:16,Other,FIA STEWARDS: STOP-AND-GO PENALTY FOR CAR 43 (COL) - STARTING PROCEDURE INFRINGEMENT,,,,,,8
2026-03-08 04:16:10,Other,TURN 11 INCIDENT INVOLVING CAR 16 (LEC) NOTED,,,,,,9
2026-03-08 04:17:20,Other,FIA STEWARDS: TURN 11 INCIDENT INVOLVING CAR 16 (LEC) REVIEWED NO FURTHER INVESTIGATION,,,,,,10
2026-03-08 04:19:08,SafetyCar,VSC DEPLOYED,DEPLOYED,,,,,12
2026-03-08 04:19:16,Flag,YELLOW IN TRACK SECTOR 13,,YELLOW,Sector,13.0,,12
2026-03-08 04:19:19,Flag,DOUBLE YELLOW IN TRACK SECTOR 13,,DOUBLE YELLOW,Sector,13.0,,12
2026-03-08 04:20:09,Other,MARSHALS ON TRACK AT TURN 9,,,,,,12
2026-03-08 04:21:13,Other,FIA STEWARDS: PENALTY SERVED - STOP-AND-GO PENALTY FOR CAR 43 (COL) - STARTING PROCEDURE INFRINGEMENT,,,,,,13
2026-03-08 04:23:05,Flag,CLEAR IN TRACK SECTOR 13,,CLEAR,Sector,13.0,,14
2026-03-08 04:23:07,SafetyCar,VSC ENDING,ENDING,,,,,14
2026-03-08 04:23:19,Flag,TRACK CLEAR,,CLEAR,Track,,,14
2026-03-08 04:23:22,Flag,WAVED BLUE FLAG FOR CAR 77 (BOT) TIMED AT 15:23:22,,BLUE,Driver,,77,14
2026-03-08 04:23:30,Flag,WAVED BLUE FLAG FOR CAR 77 (BOT) TIMED AT 15:23:30,,BLUE,Driver,,77,14
2026-03-08 04:23:35,Flag,WAVED BLUE FLAG FOR CAR 77 (BOT) TIMED AT 15:23:35,,BLUE,Driver,,77,14
2026-03-08 04:24:21,Flag,WAVED BLUE FLAG FOR CAR 77 (BOT) TIMED AT 15:24:20,,BLUE,Driver,,77,14
2026-03-08 04:25:06,Flag,WAVED BLUE FLAG FOR CAR 77 (BOT) TIMED AT 15:25:06,,BLUE,Driver,,77,15
2026-03-08 04:25:27,Flag,WAVED BLUE FLAG FOR CAR 77 (BOT) TIMED AT 15:25:26,,BLUE,Driver,,77,15
2026-03-08 04:26:27,Flag,WAVED BLUE FLAG FOR CAR 77 (BOT) TIMED AT 15:26:27,,BLUE,Driver,,77,16
2026-03-08 04:26:42,Flag,WAVED BLUE FLAG FOR CAR 77 (BOT) TIMED AT 15:26:41,,BLUE,Driver,,77,16
2026-03-08 04:28:39,Other,CAR 23 (ALB) TIME 1:28.434 DELETED - TRACK LIMITS AT TURN 3 LAP 16 15:26:48,,,,,,18
2026-03-08 04:29:38,Flag,YELLOW IN TRACK SECTOR 20,,YELLOW,Sector,20.0,,18
2026-03-08 04:29:52,Flag,WAVED BLUE FLAG FOR CAR 18 (STR) TIMED AT 15:29:51,,BLUE,Driver,,18,18
2026-03-08 04:29:55,SafetyCar,VSC DEPLOYED,DEPLOYED,,,,,18
2026-03-08 04:31:16,Other,PIT LANE ENTRY CLOSED,,,,,,19
2026-03-08 04:31:17,Flag,CLEAR IN TRACK SECTOR 20,,CLEAR,Sector,20.0,,19
2026-03-08 04:32:04,Other,MARSHALS ON TRACK AT PIT ENTRY,,,,,,20
2026-03-08 04:32:21,Other,PIT LANE ENTRY OPEN,,,,,,20
2026-03-08 04:32:26,SafetyCar,VSC ENDING,ENDING,,,,,20
2026-03-08 04:32:39,Flag,TRACK CLEAR,,CLEAR,Track,,,20
2026-03-08 04:32:43,Flag,WAVED BLUE FLAG FOR CAR 18 (STR) TIMED AT 15:32:43,,BLUE,Driver,,18,20
2026-03-08 04:32:56,Flag,WAVED BLUE FLAG FOR CAR 18 (STR) TIMED AT 15:32:55,,BLUE,Driver,,18,20
