Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:55:17.089000,33.1,36.7,1012.9,False,34.1,0,1.0
0 days 00:56:17.101000,32.9,36.8,1012.9,False,34.3,246,1.1
0 days 00:57:17.120000,32.9,36.8,1012.9,False,34.3,246,1.1
0 days 00:58:17.129000,32.9,37.0,1012.9,False,34.3,273,1.3
0 days 00:59:17.147000,33.0,36.6,1012.9,False,34.3,271,3.1
0 days 01:00:17.160000,33.1,36.3,1012.9,False,34.5,249,2.4
0 days 01:01:17.177000,33.2,36.2,1013.0,False,34.5,244,1.4
0 days 01:02:17.188000,33.0,36.5,1012.9,False,34.3,262,3.0
0 days 01:03:17.201000,33.1,36.4,1013.0,False,34.4,248,1.4
0 days 01:04:17.216000,33.0,36.7,1012.9,False,34.3,249,2.3
0 days 01:05:17.229000,33.0,36.5,1013.0,False,34.3,281,1.6
0 days 01:06:17.244000,33.1,36.3,1012.9,False,34.3,283,3.4
0 days 01:07:17.257000,33.2,36.1,1013.0,False,34.6,271,1.7
0 days 01:08:17.271000,33.1,36.3,1013.1,False,34.4,284,2.9
0 days 01:09:17.285000,33.1,36.4,1013.0,False,34.5,282,4.0
0 days 01:10:17.307000,33.1,36.4,1013.0,False,34.5,282,4.0
0 days 01:11:17.371000,33.2,36.0,1013.1,False,34.6,281,1.7
0 days 01:12:17.327000,33.2,36.2,1013.1,False,34.6,279,4.0
0 days 01:13:17.341000,33.2,37.3,1013.0,False,34.5,281,4.9
0 days 01:14:17.356000,33.2,37.3,1013.0,False,34.5,281,4.9
0 days 01:15:17.406000,33.2,37.3,1013.0,False,34.5,281,4.9
0 days 01:16:17.385000,33.2,37.3,1013.0,False,34.5,281,4.9
0 days 01:17:17.397000,33.2,37.3,1013.0,False,34.5,281,4.9
0 days 01:18:17.412000,33.1,38.2,1013.2,False,33.6,274,3.4
0 days 01:19:17.429000,33.1,38.2,1013.2,False,33.6,274,3.4
0 days 01:20:17.442000,32.5,41.4,1013.2,False,33.5,284,4.6
0 days 01:21:17.454000,32.5,41.4,1013.2,False,33.5,284,4.6
0 days 01:22:17.487000,32.4,42.2,1013.4,False,33.5,277,3.3
0 days 01:23:17.486000,32.1,45.7,1013.5,False,33.5,267,3.6
0 days 01:24:17.499000,31.6,49.3,1013.5,False,32.3,278,4.7
0 days 01:25:17.510000,31.1,50.2,1013.5,True,32.1,279,4.1
0 days 01:26:17.525000,31.1,50.2,1013.5,True,32.1,279,4.1
0 days 01:27:17.541000,30.5,50.8,1013.5,True,31.7,271,3.2
0 days 01:28:17.552000,30.5,50.8,1013.5,True,31.7,271,3.2
0 days 01:29:17.567000,30.1,52.3,1013.4,True,31.2,266,3.0
0 days 01:30:17.581000,29.8,53.9,1013.4,True,30.9,252,3.4
0 days 01:31:17.594000,29.4,55.1,1013.3,False,31.1,262,2.4
0 days 01:32:17.608000,29.4,54.9,1013.3,False,31.5,272,2.2
0 days 01:33:17.624000,29.4,54.1,1013.3,False,31.6,266,2.9
0 days 01:34:17.643000,29.4,54.1,1013.3,False,31.6,266,2.9
0 days 01:35:17.660000,29.6,53.1,1013.2,False,31.7,271,2.1
0 days 01:36:17.671000,29.7,53.0,1013.1,False,31.9,260,2.6
0 days 01:37:17.685000,29.7,53.0,1013.1,False,31.9,260,2.6
0 days 01:38:17.698000,29.7,52.9,1013.1,False,32.1,240,2.6
0 days 01:39:17.707000,29.7,52.8,1013.1,False,32.2,235,1.5
0 days 01:40:17.724000,29.8,52.8,1013.0,False,32.1,270,1.7
0 days 01:41:17.740000,29.8,52.1,1013.0,False,32.4,274,0.9
0 days 01:42:17.752000,30.0,51.9,1013.0,False,32.6,243,2.3
0 days 01:43:17.874000,30.0,51.9,1013.0,False,32.6,243,2.3
0 days 01:44:17.779000,30.0,51.6,1013.0,False,32.6,278,1.0
0 days 01:45:17.799000,30.3,50.5,1013.1,False,33.0,279,2.9
0 days 01:46:17.809000,30.3,50.5,1013.1,False,33.0,279,2.9
0 days 01:47:17.823000,30.5,50.0,1013.1,False,32.6,314,2.0
0 days 01:48:17.835000,30.5,49.8,1013.2,False,32.4,281,1.3
0 days 01:49:17.855000,30.4,50.0,1013.0,False,32.4,296,2.3
0 days 01:50:17.862000,30.4,50.0,1013.0,False,32.4,296,2.3
0 days 01:51:17.878000,30.4,50.0,1013.2,False,32.3,296,1.8
0 days 01:52:17.892000,30.4,50.0,1013.2,False,32.3,296,1.8
0 days 01:53:17.994000,30.3,50.2,1013.2,False,32.1,280,0.9
0 days 01:54:17.919000,30.3,50.1,1013.3,False,32.1,327,2.1
0 days 01:55:17.980000,30.2,50.2,1013.2,False,32.3,332,2.0
0 days 01:56:17.948000,30.3,49.9,1013.4,False,32.4,274,3.2
0 days 01:57:17.961000,30.4,49.5,1013.6,False,32.6,275,2.7
0 days 01:58:17.977000,30.4,49.4,1013.7,False,32.5,266,3.7
0 days 01:59:17.989000,30.4,49.7,1013.8,False,32.3,245,3.1
0 days 02:00:18.005000,29.9,54.5,1013.9,False,32.2,23,5.9
0 days 02:01:18.020000,29.9,54.5,1013.9,False,32.2,23,5.9
0 days 02:02:18.038000,27.4,65.2,1013.9,False,28.3,339,3.0
0 days 02:03:18.048000,27.4,65.2,1013.9,False,28.3,339,3.0
0 days 02:04:18.061000,26.4,69.6,1014.2,False,28.2,31,2.6
0 days 02:05:18.079000,26.4,69.6,1014.2,False,28.2,31,2.6
0 days 02:06:18.112000,25.9,72.4,1014.2,False,28.6,353,3.9
0 days 02:07:18.104000,25.8,72.9,1014.4,False,28.6,22,2.3
0 days 02:08:18.119000,25.5,74.0,1014.2,False,28.6,249,4.9
0 days 02:09:18.132000,25.4,74.1,1014.4,False,28.9,334,4.2
0 days 02:10:18.147000,25.3,74.3,1014.3,False,29.3,50,4.0
0 days 02:11:18.241000,25.3,73.2,1014.4,False,29.2,15,3.5
0 days 02:12:18.173000,25.3,73.2,1014.4,False,29.2,15,3.5
0 days 02:13:18.190000,25.1,73.9,1014.7,False,29.4,9,3.2
0 days 02:14:18.204000,25.1,73.9,1014.7,False,29.4,9,3.2
0 days 02:15:18.216000,25.0,74.5,1014.7,False,29.4,146,3.2
0 days 02:16:18.230000,24.9,74.6,1014.7,False,29.3,323,3.5
